Date,Price
3/16/1998,12.828689
3/23/1998,13.76952
3/30/1998,14.582946
4/6/1998,13.955723
4/13/1998,14.445737
4/20/1998,14.445737
4/27/1998,14.053732
5/4/1998,13.446107
5/11/1998,14.024326
5/18/1998,13.416703
5/25/1998,13.299104
6/1/1998,13.524506
6/8/1998,13.446107
6/15/1998,14.847557
6/22/1998,16.37641
6/29/1998,16.817436
7/6/1998,17.74847
7/13/1998,18.493292
7/20/1998,17.846474
7/27/1998,17.238846
8/3/1998,16.601826
8/10/1998,16.34701
8/17/1998,17.346653
8/24/1998,16.503817
8/31/1998,15.15137
9/7/1998,16.34701
9/14/1998,16.52342
9/21/1998,17.728868
9/28/1998,16.327415
10/5/1998,15.190575
10/12/1998,16.474422
10/19/1998,16.680223
10/26/1998,16.601826
11/2/1998,17.14085
11/9/1998,17.24865
11/16/1998,17.81707
11/23/1998,20.080956
11/30/1998,19.973146
12/7/1998,21.011992
12/14/1998,21.609814
12/21/1998,22.227242
12/28/1998,21.747015
1/4/1999,23.501284
1/11/1999,23.481684
1/18/1999,24.500919
1/25/1999,27.441029
2/1/1999,25.08894
2/8/1999,24.736134
2/15/1999,23.168068
2/22/1999,23.540482
3/1/1999,24.295113
3/8/1999,25.118343
3/15/1999,26.843214
3/22/1999,27.931047
3/29/1999,29.06789
4/5/1999,29.557911
4/12/1999,27.166626
4/19/1999,26.970612
4/26/1999,25.500555
5/3/1999,24.794931
5/10/1999,24.108904
5/17/1999,24.32452
5/24/1999,25.304548
5/31/1999,24.95174
6/7/1999,24.500919
6/14/1999,26.657003
6/21/1999,26.637396
6/28/1999,28.852282
7/5/1999,29.244301
7/12/1999,31.18478
7/19/1999,28.303459
7/26/1999,26.911821
8/2/1999,26.696201
8/9/1999,26.559006
8/16/1999,26.147385
8/23/1999,29.244301
8/30/1999,30.067533
9/6/1999,29.793125
9/13/1999,30.243944
9/20/1999,28.519081
9/27/1999,28.220165
10/4/1999,29.773523
10/11/1999,27.617437
10/18/1999,29.06789
10/25/1999,29.028694
11/1/1999,28.715082
11/8/1999,27.970264
11/15/1999,26.970612
11/22/1999,28.577868
11/29/1999,30.145922
12/6/1999,29.4403
12/13/1999,36.143764
12/20/1999,36.829777
12/27/1999,36.614185
1/3/2000,34.948116
1/10/2000,35.20293
1/17/2000,32.537235
1/24/2000,30.812355
1/31/2000,33.41927
2/7/2000,31.341572
2/14/2000,29.812733
2/21/2000,28.636684
2/28/2000,30.145922
3/6/2000,31.674786
3/13/2000,31.165167
3/20/2000,35.02652
3/27/2000,33.321259
4/3/2000,27.931047
4/10/2000,23.246473
4/17/2000,24.755737
4/24/2000,21.874428
5/1/2000,22.305637
5/8/2000,21.580408
5/15/2000,20.404364
5/22/2000,19.267525
5/29/2000,20.796387
6/5/2000,21.580408
6/12/2000,22.756453
6/19/2000,24.363714
6/26/2000,25.08894
7/3/2000,25.716162
7/10/2000,24.755737
7/17/2000,22.678049
7/24/2000,21.85483
7/31/2000,21.678417
8/7/2000,22.717258
8/14/2000,22.266441
8/21/2000,22.148829
8/28/2000,22.011621
9/4/2000,21.737217
9/11/2000,20.129953
9/18/2000,19.835949
9/25/2000,18.914711
10/2/2000,17.425049
