Date,Price
3/16/1998,70.648064
3/23/1998,70.689857
3/30/1998,72.60424
4/6/1998,71.697472
4/13/1998,72.40274
4/20/1998,71.455627
4/27/1998,72.60424
5/4/1998,71.657127
5/11/1998,71.596672
5/18/1998,71.737709
5/25/1998,70.307045
6/1/1998,72.221344
6/8/1998,71.213799
6/15/1998,70.972054
6/22/1998,73.542786
6/29/1998,74.290764
7/6/1998,75.341942
7/13/1998,76.696358
7/20/1998,73.805557
7/27/1998,72.309662
8/3/1998,70.5914
8/10/1998,68.650719
8/17/1998,70.227524
8/24/1998,66.87178
8/31/1998,63.233074
9/7/1998,65.780167
9/14/1998,66.043007
9/21/1998,67.675995
9/28/1998,65.383659
10/5/1998,63.963577
10/12/1998,68.812073
10/19/1998,69.359802
10/26/1998,71.408737
11/2/1998,74.08654
11/9/1998,73.498245
11/16/1998,75.709526
11/23/1998,77.575851
11/30/1998,76.845543
12/7/1998,76.034081
12/14/1998,76.926704
12/21/1998,79.909676
12/28/1998,80.316765
1/4/1999,83.206993
1/11/1999,81.008774
1/18/1999,79.828262
1/25/1999,83.145973
2/1/1999,80.805214
2/8/1999,80.520302
2/15/1999,80.927391
2/22/1999,80.479568
3/1/1999,83.074715
3/8/1999,84.265427
3/15/1999,84.468941
3/22/1999,83.939301
3/29/1999,84.449402
4/5/1999,88.060822
4/12/1999,85.877625
4/19/1999,88.67289
4/26/1999,86.99984
5/3/1999,88.142448
5/10/1999,87.34671
5/17/1999,87.060997
5/24/1999,85.010513
5/31/1999,86.979431
6/7/1999,84.75544
6/14/1999,87.693535
6/21/1999,86.249443
6/28/1999,91.29406
7/5/1999,92.010345
7/12/1999,92.869804
7/19/1999,88.899643
7/26/1999,86.935013
8/2/1999,85.3797
8/9/1999,87.201096
8/16/1999,87.692207
8/23/1999,88.449387
8/30/1999,89.0429
9/6/1999,88.981522
9/13/1999,87.589874
9/20/1999,83.896233
9/27/1999,84.368263
10/4/1999,87.918686
10/11/1999,82.008179
10/18/1999,85.435425
10/25/1999,89.97094
11/1/1999,90.545555
11/8/1999,91.776932
11/15/1999,93.582916
11/22/1999,92.885147
11/29/1999,94.465385
12/6/1999,93.172455
12/13/1999,93.706024
12/20/1999,96.435638
12/27/1999,96.692787
1/3/2000,95.952194
1/10/2000,96.754547
1/17/2000,95.088127
1/24/2000,89.451141
1/31/2000,93.874352
2/7/2000,91.302696
2/14/2000,89.080788
2/21/2000,87.774467
2/28/2000,92.907433
3/6/2000,92.249054
3/13/2000,96.733971
3/20/2000,101.352341
3/27/2000,99.248611
4/3/2000,99.949829
4/10/2000,89.761017
4/17/2000,94.917267
4/24/2000,95.762924
5/1/2000,94.731682
5/8/2000,94.257309
5/15/2000,93.143547
5/22/2000,91.081024
5/29/2000,97.578003
6/5/2000,96.752945
6/12/2000,96.752945
6/19/2000,95.512856
6/26/2000,96.112389
7/3/2000,97.973068
7/10/2000,100.061111
7/17/2000,97.704315
7/24/2000,94.003716
7/31/2000,96.836052
8/7/2000,97.518265
8/14/2000,99.027458
8/21/2000,100.061111
8/28/2000,100.888054
9/4/2000,99.110146
9/11/2000,96.587929
9/18/2000,96.353912
9/25/2000,95.25544
10/2/2000,93.555939
10/9/2000,91.234688
10/16/2000,92.789078
10/23/2000,92.374596
10/30/2000,94.695854
11/6/2000,90.612877
11/13/2000,90.623245
11/20/2000,89.431503
11/27/2000,87.690552
12/4/2000,88.851204
12/11/2000,86.861526
12/18/2000,87.107162
12/25/2000,87.273499
1/1/2001,85.942963
1/8/2001,87.814018
1/15/2001,89.1549
1/22/2001,90.391861
1/29/2001,89.676727
2/5/2001,87.70755
2/12/2001,86.74958
2/19/2001,83.130585
2/26/2001,82.232475
3/5/2001,82.066154
3/12/2001,76.511276
3/19/2001,76.36377
3/26/2001,77.837952
4/2/2001,75.576622
4/9/2001,79.278725
4/16/2001,83.047569
4/23/2001,83.901413
4/30/2001,84.941986
5/7/2001,83.481163
5/14/2001,86.542931
5/21/2001,85.448944
5/28/2001,84.535103
6/4/2001,84.715195
6/11/2001,81.279877
6/18/2001,82.180016
6/25/2001,82.012772
7/2/2001,79.638
7/9/2001,81.771912
7/16/2001,81.169899
7/23/2001,80.815361
7/30/2001,81.571304
8/6/2001,79.798546
8/13/2001,78.099434
8/20/2001,79.617966
8/27/2001,76.360153
9/3/2001,72.727798
9/10/2001,73.617523
9/17/2001,65.075027
9/24/2001,70.126831
10/1/2001,72.000229
10/8/2001,73.524445
10/15/2001,72.080811
10/22/2001,74.075027
10/29/2001,73.356583
11/5/2001,75.686531
11/12/2001,76.787727
11/19/2001,77.674026
11/26/2001,76.579552
12/3/2001,78.26487
12/10/2001,75.961815
12/17/2001,77.183861
12/24/2001,78.156792
12/31/2001,79.248283
1/7/2002,77.442612
1/14/2002,76.236549
1/21/2002,76.506088
1/28/2002,75.899696
2/4/2002,74.174828
2/11/2002,74.713844
2/18/2002,73.871658
2/25/2002,76.634109
3/4/2002,78.823799
3/11/2002,78.594788
3/18/2002,77.732033
3/25/2002,77.380676
4/1/2002,76.144119
4/8/2002,75.28598
4/15/2002,76.272491
4/22/2002,72.56295
4/29/2002,72.691322
5/6/2002,71.434517
5/13/2002,74.934654
5/20/2002,73.44133
5/27/2002,72.448097
6/3/2002,69.826393
6/10/2002,68.515541
6/17/2002,67.083054
6/24/2002,67.100899
7/1/2002,67.338219
7/8/2002,62.279839
7/15/2002,57.438519
7/22/2002,58.041977
7/29/2002,58.848877
8/5/2002,61.900143
8/12/2002,63.208805
8/19/2002,64.144516
8/26/2002,62.232384
9/2/2002,61.025463
9/9/2002,60.801708
9/16/2002,57.194386
9/23/2002,56.361034
9/30/2002,55.03289
10/7/2002,57.321365
10/14/2002,60.372726
10/21/2002,61.435211
10/28/2002,61.48291
11/4/2002,61.060642
11/11/2002,62.252548
11/18/2002,63.628403
11/25/2002,64.009796
12/2/2002,62.681656
12/9/2002,60.849503
12/16/2002,61.29221
12/23/2002,59.80698
12/30/2002,62.524227
1/6/2003,63.694653
1/13/2003,62.051975
1/20/2003,59.122543
1/27/2003,58.903511
2/3/2003,57.096565
2/10/2003,57.596222
2/17/2003,58.301193
2/24/2003,58.109524
3/3/2003,57.028141
3/10/2003,57.582527
3/17/2003,61.374397
3/24/2003,59.5877
3/31/2003,60.625397
4/7/2003,59.890076
4/14/2003,61.546227
4/21/2003,62.00668
4/28/2003,64.054565
5/5/2003,64.411926
5/12/2003,65.19532
5/19/2003,64.432526
5/26/2003,66.62471
6/2/2003,68.212135
6/9/2003,68.41832
6/16/2003,68.335846
6/23/2003,67.355019
6/30/2003,68.099922
7/7/2003,69.13446
7/14/2003,68.630989
7/21/2003,69.127594
7/28/2003,67.941299
8/4/2003,67.782669
8/11/2003,68.706863
8/18/2003,68.810303
8/25/2003,69.96209
9/1/2003,70.920746
9/8/2003,70.658669
9/15/2003,71.500084
9/22/2003,69.199081
9/29/2003,71.580696
10/6/2003,72.397659
10/13/2003,72.183022
10/20/2003,71.712257
10/27/2003,72.903076
11/3/2003,73.117699
11/10/2003,73.013832
11/17/2003,72.148415
11/24/2003,73.699272
12/1/2003,73.976173
12/8/2003,74.869293
12/15/2003,75.395493
12/22/2003,76.308212
12/29/2003,77.37249
1/5/2004,78.17942
1/12/2004,79.459312
1/19/2004,79.598419
1/26/2004,78.937614
2/2/2004,79.612366
2/9/2004,80.08535
2/16/2004,79.911453
2/23/2004,80.008873
3/1/2004,80.954872
3/8/2004,78.311592
3/15/2004,77.254211
3/22/2004,77.504128
3/29/2004,80.024094
4/5/2004,79.835625
4/12/2004,79.458672
4/19/2004,79.828621
4/26/2004,77.455284
5/3/2004,76.757202
5/10/2004,76.813072
5/17/2004,76.652527
5/24/2004,78.78154
5/31/2004,78.865334
6/7/2004,79.821632
6/14/2004,79.319023
6/21/2004,79.755714
6/28/2004,79.083138
7/5/2004,78.277489
7/12/2004,77.562874
7/19/2004,76.336823
7/26/2004,77.653915
8/2/2004,74.858566
8/9/2004,75.096779
8/16/2004,77.401726
8/23/2004,78.081291
8/30/2004,78.55069
9/6/2004,79.209221
9/13/2004,79.272331
9/20/2004,78.413353
9/27/2004,79.954041
10/4/2004,79.152069
10/11/2004,78.272652
10/18/2004,77.379196
10/25/2004,79.637436
11/1/2004,82.50779
11/8/2004,83.570084
11/15/2004,82.606285
11/22/2004,83.507294
11/29/2004,84.142319
12/6/2004,84.198807
12/13/2004,84.276398
12/20/2004,85.617371
12/27/2004,85.688255
1/3/2005,83.965546
1/10/2005,83.823753
1/17/2005,82.788719
1/24/2005,83.24955
1/31/2005,85.234566
2/7/2005,85.617371
2/14/2005,85.348
2/21/2005,86.085258
2/28/2005,87.006889
3/7/2005,85.348
3/14/2005,84.036453
3/21/2005,83.37014
3/28/2005,83.57653
4/4/2005,83.982216
4/11/2005,81.242126
4/18/2005,82.252762
4/25/2005,82.380867
5/2/2005,83.334549
5/9/2005,82.35952
5/16/2005,84.779343
5/23/2005,85.583565
5/30/2005,85.512421
6/6/2005,85.548004
6/13/2005,86.373573
6/20/2005,85.021477
6/27/2005,85.414482
7/4/2005,86.693588
7/11/2005,87.77977
7/18/2005,88.279968
7/25/2005,88.422874
8/1/2005,87.808357
8/8/2005,87.936951
8/15/2005,87.515396
8/22/2005,86.293419
8/29/2005,87.372459
9/5/2005,89.03743
9/12/2005,88.251419
9/19/2005,87.148758
9/26/2005,88.296944
10/3/2005,85.835487
10/10/2005,85.160904
10/17/2005,84.773399
10/24/2005,85.971832
10/31/2005,87.629547
11/7/2005,88.813637
11/14/2005,89.796768
11/21/2005,91.232079
11/28/2005,91.031113
12/5/2005,90.657928
12/12/2005,90.679466
12/19/2005,91.448723
12/26/2005,89.825516
1/2/2006,92.660736
1/9/2006,92.83387
1/16/2006,90.878784
1/23/2006,92.732903
1/30/2006,91.09523
2/6/2006,91.362183
2/13/2006,92.927689
2/20/2006,93.360558
2/27/2006,92.891617
3/6/2006,92.768944
3/13/2006,94.233498
3/20/2006,94.311226
3/27/2006,94.036003
4/3/2006,93.825966
4/10/2006,93.224808
4/17/2006,94.992073
4/24/2006,95.223862
5/1/2006,95.984398
5/8/2006,93.608673
5/15/2006,92.058685
5/22/2006,92.985764
5/29/2006,93.43486
6/5/2006,90.791138
6/12/2006,90.284119
6/19/2006,90.530403
6/26/2006,92.596542
7/3/2006,92.109116
7/10/2006,89.861069
7/17/2006,90.173943
7/24/2006,93.105782
7/31/2006,93.265816
8/7/2006,92.400085
8/14/2006,95.077309
8/21/2006,94.437126
8/28/2006,95.608368
9/4/2006,94.779053
9/11/2006,96.001228
9/18/2006,96.065399
9/25/2006,97.60717
10/2/2006,98.652092
10/9/2006,99.835838
10/16/2006,99.989243
10/23/2006,100.771126
10/30/2006,99.770027
11/6/2006,101.012238
11/13/2006,102.605171
11/20/2006,102.554047
11/27/2006,102.459045
12/4/2006,103.335876
12/11/2006,104.008141
12/18/2006,103.419319
12/25/2006,104.058586
1/1/2007,103.265022
1/8/2007,105.248947
